70002,35837
70044,33521
70087,33521
70079,49436
70006,83579
70063,22958
70092,13901
70077,53548
70057,13901
70016,19468
70016,28013
70045,39823
70081,57361
70016,28013
70030,21874
70073,35837
70076,35328
70064,33521
70004,33521
70021,61638
70041,33521
70084,16034
70075,32137
70003,33521
70077,13901
70039,21963
70076,35328
70003,33521
70097,83579
70019,21772
70031,19468
70083,33521
70024,23522
70051,41095
70016,28013
70035,29375
70071,33521
70007,23895
70069,33521
70011,33521
70069,33521
70095,83579
70037,23952
70051,41095
70061,54271
70032,13901
70093,13901
70071,33521
70097,83579
70041,33521
70013,33521
70057,13901
70013,33521
70035,29375
70060,19468
70036,33521
70078,13901
70090,53548
70030,21874
70016,28013
70037,23952
70015,33521
70080,51032
70063,22958
70060,19468
70026,22958
70019,21772
70016,28013
70018,33521
70090,53548
70025,83579
70003,33521
70080,51032
70062,23952
70020,33521
70030,21874
70083,33521
70054,33521
70038,23895
70052,33521
70024,23522
70045,39823
70033,33521
70045,39823
70076,35328
70057,13901
70019,21772
70084,16034
70028,23952
70016,28013
70035,29375
70041,33521
70075,32137
70049,33521
70016,28013
70059,33521
70091,83579
70097,83579
70034,33521
70029,83579
70061,36871
70083,33521
70061,84329
70013,33521
70028,23952
70048,33521
70083,33521
70025,83579
70051,41095
70085,13901
70063,22958
70092,13901
70039,21963
70006,83579
70015,33521
70018,33521
70071,33521
70075,32137
70056,33521
70050,33521
70012,33521
70028,23952
70090,53548
70027,13901
70030,21874
70036,33521
70094,13901
70016,28013
70019,21772
70061,45836
70055,13901
70016,28013
70062,23952
70053,33521
70078,13901
70076,35328
70027,13901
70051,41095
70087,33521
70050,33521
70049,33521
70015,33521
70049,33521
70057,13901
70032,13901
70097,83579
70028,23952
70044,33521
70035,29375
70063,22958
70045,39823
70045,39823
70093,83579
70032,13901
70069,33521
70066,33521
70031,19468
70037,23952
70063,22958
70094,13901
70023,83579
70003,33521
70022,33521
70053,33521
70070,13901
70067,33521
70046,33521
70044,33521
