WDDNG8EB3DA521052,20050,10048,30,5.41,2023-03-30
1G1BC5SM2G7259363,20106,10043,54,5.96,2023-03-29
1GCHK29U43E183471,20046,10095,30,5.16,2023-03-31
1B3EL36X13N544178,20100,10009,54,7.20,2023-03-28
5FNRL38458B124625,20047,10011,42,10.46,2023-04-01
3D7TT2CT8BG117921,20107,10056,42,8.17,2023-03-27
JTDKDTB37A1358646,20081,10043,66,11.35,2023-03-26
WDDGF8BB8AF465796,20008,10090,18,11.51,2023-03-25
WDDGF8AB8EG146484,20101,10011,30,6.78,2023-03-24
WDDGF8BB8AF465796,20091,10011,60,6.58,2023-03-28
WDBUF87J24X183669,20066,10045,54,4.65,2023-03-30
1G4GE5EV1AF270056,20010,10059,18,8.38,2023-04-02
VF1AG462K24863452,20046,10023,42,11.47,2023-03-27
1G1BC5SM2G7259363,20105,10094,42,7.31,2023-04-01
1G4GE5EV1AF270056,20028,10090,12,11.54,2023-03-25
1GYS4BKJ9FR261998,20090,10112,72,9.12,2023-03-29
WDDNG8EB3DA521052,20072,10076,36,6.94,2023-03-26
1FM5K8D81GGB92846,20085,10110,66,7.98,2023-03-28
1GNKVJED1CJ340267,20042,10101,66,5.38,2023-03-29
1GCHK29U43E183471,20105,10105,66,10.15,2023-04-02
3VWRL71KX5M624255,20032,10036,30,9.23,2023-03-15
WUAPV54B43N903569,20102,10101,12,5.63,2023-03-07
1FAHP2F87DG177357,20077,10108,54,5.18,2023-03-22
5NPD84LF9KH404781,20111,10085,12,9.84,2023-03-28
JTHBK1EG2A2431221,20054,10043,30,4.72,2023-03-05
JTDKDTB30C1514658,20098,10078,18,7.67,2023-03-20
3D7KU28D53G744361,20070,10060,42,10.17,2023-03-24
2G61M5S31D9262549,20106,10025,12,8.31,2023-03-26
2GTEK19B951178294,20016,10111,30,9.66,2023-03-02
2G61M5S31D9262549,20003,10025,54,4.09,2023-03-01
5FNYF5H92LB023046,20111,10107,30,4.67,2023-03-13
WDBRF81J53F352141,20108,10057,66,5.69,2023-03-25
3VWRL71KX5M624255,20100,10107,30,10.52,2023-03-18
5GZCZ23D44S823096,20063,10100,42,10.12,2023-03-10
JTDKDTB37A1358646,20028,10072,54,11.61,2023-03-12
1G8ZK5275XZ153317,20112,10011,42,8.99,2023-03-16
VF1AG462K24863452,20060,10031,12,10.22,2023-03-21
JTHBK1EG2A2431221,20057,10050,66,5.17,2023-03-11
