WBA8E5G53GNT43587,20019,10084,68642,9,407,2023-04-01
1G1YY32G045137245,20063,10108,44627,1,28,2023-03-28
1GCHK29U43E183471,20105,10055,71782,8,310,2023-03-30
1G1BC5SM6H7248546,20098,10108,73165,2,165,2023-03-29
WUAPV54B43N903569,20106,10043,86729,10,356,2023-03-31
5GZCZ23D64S886662,20048,10029,83912,7,507,2023-03-27
2GTEK19B951178294,20081,10025,76543,1,348,2023-03-29
WDDNG7EB3AA306856,20013,10064,61638,8,515,2023-03-28
WDD1690321J306021,20101,10005,82403,9,279,2023-03-31
WDBUF87J24X183669,20023,10109,71782,7,56,2023-03-27
2C3CDXHG6GH235239,20106,10066,95128,11,563,2023-03-31
1G1PC5SB1E7468027,20057,10051,94826,3,577,2023-03-30
JN8AS5MT5AW001684,20089,10045,79045,3,51,2023-03-28
1GNKVJED1CJ340267,20008,10111,19468,7,340,2023-03-28
1G4GE5EV1AF270056,20101,10018,77509,3,83,2023-03-29
WDD1690321J306021,20043,10105,85948,6,56,2023-03-30
JTHCK262382015990,20024,10033,57102,11,584,2023-03-29
JN1AZ4EH4FM446205,20095,10029,76543,7,157,2023-03-27
3VWRL71KX5M624255,20069,10110,71782,10,247,2023-03-31
JF1GE6A60CH206925,20027,10072,71597,6,46,2023-03-28
VF1BB0CG642762701,20079,10006,61638,11,404,2023-03-15
1GKET16S336108900,20006,10104,95128,6,496,2023-03-01
VF1BB0CG642762701,20103,10096,32137,4,590,2023-03-08
JTHBE1D20F5003012,20034,10033,29375,8,554,2023-03-14
WV2ZZZ2KZ6X074902,20109,10019,44627,11,390,2023-02-28
WBACD4323VAV46579,20025,10079,33521,10,471,2023-03-03
WDD2221861A194294,20070,10045,74831,4,234,2023-03-25
1GKDT13S432310687,20020,10105,28013,2,56,2023-03-11
WDD2221861A194294,20091,10054,62345,4,261,2023-03-07
1G1PC5SB3E7160723,20110,10108,64237,9,236,2023-02-24
VF1LC0NM6F0109144,20017,10024,47490,3,328,2023-02-27
WBADW7C55CE730962,20060,10108,61428,8,341,2023-03-02
VF7XU9HXCJS036271,20103,10106,35923,10,331,2023-03-21
VF7XU9HXCJS036271,20055,10071,71782,7,557,2023-02-26
1G4GE5EV1AF270056,20068,10052,54271,1,48,2023-03-22
1FTMF1E55KKE29667,20068,10112,98526,5,236,2023-03-09
5UXFE43528L034542,20075,10105,85218,5,253,2023-03-23
JTHCK262382015990,20057,10031,61428,5,333,2023-03-12
VF1LW5FV4EJ400449,20050,10103,61638,3,584,2023-03-16
VF7XU9HXCJS036270,20016,10029,28013,8,103,2023-02-25
WDBUF87J24X183669,20107,10015,25992,12,238,2019-06-13
1N4BL2AP3CN456357,20025,10006,67654,5,55,2022-11-16
1GTEC14V4YE228962,20110,10032,76543,8,266,2020-08-18
